circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,-0.3656,0.1844
work,mask_work,c,0.3500,0.0176,0.3676
work,mask_work,e,0.5000,-0.5000,0.0000
work,mask_work,a,0.7500,-0.5000,0.2500
work,mask_work,n,0.3000,-0.3267,0.0000
home,mask_home,o,0.5500,-0.4126,0.1374
home,mask_home,c,0.3500,-0.3270,0.0230
home,mask_home,e,0.5000,-0.3687,0.1313
home,mask_home,a,0.7500,-0.5000,0.2500
home,mask_home,n,0.3000,-0.3254,0.0000
conference,mask_conference,o,0.5500,-0.3019,0.2481
conference,mask_conference,c,0.3500,-0.0612,0.2888
conference,mask_conference,e,0.5000,-0.3648,0.1352
conference,mask_conference,a,0.7500,-0.5000,0.2500
conference,mask_conference,n,0.3000,-0.3883,0.0000
