circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,0.0970,0.6470
work,mask_work,c,0.3500,0.4162,0.7662
work,mask_work,e,0.5000,0.0921,0.5921
work,mask_work,a,0.7500,-0.1093,0.6407
work,mask_work,n,0.3000,0.1336,0.4336
home,mask_home,o,0.5500,0.2098,0.7598
home,mask_home,c,0.3500,0.1052,0.4552
home,mask_home,e,0.5000,0.2967,0.7967
home,mask_home,a,0.7500,-0.0155,0.7345
home,mask_home,n,0.3000,0.0878,0.3878
conference,mask_conference,o,0.5500,0.1975,0.7475
conference,mask_conference,c,0.3500,0.3271,0.6771
conference,mask_conference,e,0.5000,0.2017,0.7017
conference,mask_conference,a,0.7500,-0.0212,0.7288
conference,mask_conference,n,0.3000,0.0689,0.3689
