circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,-0.3508,0.1992
work,mask_work,c,0.3500,0.0328,0.3828
work,mask_work,e,0.5000,-0.4804,0.0196
work,mask_work,a,0.7500,-0.5000,0.2500
work,mask_work,n,0.3000,-0.3300,0.0000
home,mask_home,o,0.5500,-0.3371,0.2129
home,mask_home,c,0.3500,-0.3651,0.0000
home,mask_home,e,0.5000,-0.2830,0.2170
home,mask_home,a,0.7500,-0.5000,0.2500
home,mask_home,n,0.3000,-0.3672,0.0000
conference,mask_conference,o,0.5500,-0.2127,0.3373
conference,mask_conference,c,0.3500,0.0187,0.3687
conference,mask_conference,e,0.5000,-0.2703,0.2297
conference,mask_conference,a,0.7500,-0.4377,0.3123
conference,mask_conference,n,0.3000,-0.4192,0.0000
