circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,0.0874,0.6374
work,mask_work,c,0.3500,0.4474,0.7974
work,mask_work,e,0.5000,0.0740,0.5740
work,mask_work,a,0.7500,-0.1045,0.6455
work,mask_work,n,0.3000,0.1312,0.4312
home,mask_home,o,0.5500,0.2054,0.7554
home,mask_home,c,0.3500,0.0635,0.4135
home,mask_home,e,0.5000,0.2910,0.7910
home,mask_home,a,0.7500,-0.0103,0.7397
home,mask_home,n,0.3000,0.0967,0.3967
conference,mask_conference,o,0.5500,0.2089,0.7589
conference,mask_conference,c,0.3500,0.3109,0.6609
conference,mask_conference,e,0.5000,0.2262,0.7262
conference,mask_conference,a,0.7500,-0.0553,0.6947
conference,mask_conference,n,0.3000,0.0844,0.3844
